"","id_hogar","H18A_ESTU","H18B_REFR","H18C_LAVA","H18D_MCOS","H18E_ABAN","H18F_AIRE","H18G_RADI","H18H_TRES","H18I_TCEL","H18J_TV","H18K_COMP","H18L_INTER","H18M_AUTO","nse","se_nse"
"177",177,1,1,1,0,1,0,0,0,1,1,0,1,0,-0.204257077809573,0.373772146576055
"178",178,1,1,1,0,1,0,1,0,1,1,0,1,0,-0.204257077809573,0.373772146576055
"179",179,1,1,1,0,1,1,0,0,1,1,1,1,1,0.914702356886305,0.450936750610379
"180",180,1,1,1,0,1,1,1,0,1,1,1,1,1,0.914702356886305,0.450936750610379
"181",181,1,1,1,0,1,1,0,0,1,1,1,1,1,0.914702356886305,0.450936750610379
"182",182,1,1,1,0,0,1,0,0,1,1,1,1,1,0.578784486679642,0.40388896366335
"183",183,1,0,0,0,0,1,0,0,1,1,1,0,0,-0.916984199982807,0.262157927341832
"184",184,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.20360265307566,0.420269375739473
"185",185,1,1,1,0,1,1,1,1,1,1,0,1,1,0.786912313062124,0.429156166863074
"186",186,1,1,1,1,1,0,1,0,1,1,0,1,1,0.123045429190359,0.38446997596849
"187",187,1,1,1,0,1,0,1,0,1,1,1,1,1,0.483997796883287,0.396391727632507
"188",188,1,1,1,0,1,0,1,0,1,1,1,1,1,0.483997796883287,0.396391727632507
"189",189,1,1,1,0,1,0,1,0,1,1,1,1,0,0.14228569790756,0.384735241512311
"190",190,1,1,1,0,0,0,1,0,1,1,0,0,0,-0.668699435193742,0.30274221019751
"191",191,1,1,1,0,1,1,0,1,1,1,1,1,1,1.34010385023213,0.553965665930291
"192",192,1,1,1,0,0,0,0,0,1,1,0,0,0,-0.668699435193742,0.30274221019751
"193",193,1,1,1,0,1,1,0,1,1,1,1,1,0,0.811076362396705,0.432909384552409
"194",194,1,1,1,0,1,1,0,1,1,1,1,1,1,1.34010385023213,0.553965665930291
"195",195,1,1,1,1,1,1,1,0,1,1,1,1,1,0.914702356886305,0.450936750610379
"196",196,1,1,0,0,1,0,1,0,1,1,0,0,0,-0.760749723001706,0.284889649888758
"197",197,1,1,1,0,1,0,1,0,1,1,0,0,0,-0.475733777914441,0.340218485421645
"198",198,1,1,1,1,1,1,1,0,1,1,1,1,1,0.914702356886305,0.450936750610379
"199",199,1,1,1,0,1,1,1,0,1,1,0,0,0,-0.154337983286555,0.376931749958893
"200",200,1,1,1,0,1,0,1,0,1,1,0,0,1,-0.182988790436365,0.375218447062372
"201",201,1,1,1,0,1,0,0,0,1,1,0,0,0,-0.475733777914441,0.340218485421645
"202",202,1,0,0,0,0,0,0,0,1,0,0,0,0,-1.48726877012134,0.313103473746974
"203",203,1,1,1,0,1,1,1,0,1,1,1,1,0,0.515995780844163,0.398660600065657
"204",204,1,1,1,0,1,0,0,0,1,1,0,1,1,0.123045429190359,0.38446997596849
"205",205,1,1,1,1,1,0,0,1,1,1,0,1,0,0.0447123573989088,0.383330517926325
"206",206,0,1,1,0,1,1,1,0,1,1,1,1,1,0.329781401125257,0.388772797748488
"207",207,1,1,0,0,1,0,0,0,1,1,0,1,0,-0.56706415194156,0.323179647840837
"208",208,1,0,0,0,0,0,0,0,1,0,0,0,0,-1.48726877012134,0.313103473746974
"209",209,1,1,1,0,1,0,0,0,1,1,0,1,0,-0.204257077809573,0.373772146576055
"210",210,1,1,1,0,1,1,1,0,1,1,0,1,0,0.153011904568361,0.38488664112875
"211",211,1,1,0,0,1,0,0,0,1,1,0,0,0,-0.760749723001706,0.284889649888758
"212",212,1,1,1,0,1,0,1,0,1,1,1,1,1,0.483997796883287,0.396391727632507
"213",213,1,1,1,0,1,0,0,0,1,1,0,1,1,0.123045429190359,0.38446997596849
"214",214,0,0,0,0,1,0,0,0,1,0,0,1,0,-1.43854342150536,0.304323686235196
"215",215,1,1,0,0,1,0,1,1,1,1,0,1,0,-0.366481387468336,0.357163556487336
"216",216,1,1,1,0,1,0,1,0,1,1,0,0,0,-0.475733777914441,0.340218485421645
"217",217,1,0,1,0,1,0,0,0,1,0,0,0,0,-1.11073434661222,0.257597794251556
"218",218,1,1,1,0,1,0,1,0,1,1,0,1,0,-0.204257077809573,0.373772146576055
"219",219,1,1,1,0,1,0,1,0,1,1,1,1,1,0.483997796883287,0.396391727632507
"220",220,1,1,1,0,0,1,1,0,1,0,1,1,1,0.137934246710279,0.38467470130567
"221",221,1,0,1,0,0,0,1,0,1,0,0,1,0,-1.09495301345677,0.256846741162055
"222",222,1,0,0,0,0,0,0,0,1,1,1,1,1,-0.777170998441763,0.281940289715519
"223",223,1,1,1,0,1,0,1,0,1,1,0,1,0,-0.204257077809573,0.373772146576055
"224",224,1,1,1,0,1,0,1,0,1,1,0,1,0,-0.204257077809573,0.373772146576055
"225",225,1,0,0,0,1,0,0,0,0,1,0,0,0,-1.25905332105068,0.273160490182688
"226",226,1,1,1,1,1,0,1,0,1,1,1,0,1,0.164740774155072,0.385056875579537
"227",227,1,1,1,0,1,0,1,1,1,1,1,1,1,0.773633666125359,0.42716685784914
"228",228,1,1,1,0,1,0,0,0,1,1,0,0,0,-0.475733777914441,0.340218485421645
"229",229,1,1,1,0,0,0,1,0,1,1,0,0,0,-0.668699435193742,0.30274221019751
"230",230,1,1,1,0,1,1,1,0,1,1,1,1,1,0.914702356886305,0.450936750610379
"231",231,1,1,1,0,1,0,0,0,1,0,0,0,0,-0.756177792735821,0.285727417406031
"232",232,1,1,0,0,1,0,1,0,1,0,0,1,0,-0.82120956589376,0.274571407628465
"233",233,1,1,1,0,1,0,1,0,1,1,0,1,0,-0.204257077809573,0.373772146576055
"234",234,1,1,0,0,1,0,0,0,0,1,0,0,1,-0.745347842204421,0.287738317795563
"235",235,1,1,1,0,1,0,0,0,1,1,0,1,1,0.123045429190359,0.38446997596849
"236",236,1,1,1,0,1,0,1,0,1,1,0,0,0,-0.475733777914441,0.340218485421645
"237",237,1,1,1,0,1,1,1,0,1,1,1,1,1,0.914702356886305,0.450936750610379
"238",238,1,1,0,0,1,0,0,0,1,1,1,1,0,-0.279568042136239,0.367338735878784
"239",239,1,1,1,0,1,1,0,0,1,1,0,1,1,0.495401488493232,0.397170670532923
"240",240,1,1,1,0,1,0,0,0,1,1,0,1,0,-0.204257077809573,0.373772146576055
"241",241,1,1,1,0,1,0,0,0,1,1,0,1,1,0.123045429190359,0.38446997596849
"242",242,1,1,1,0,1,1,1,0,1,1,0,1,0,0.153011904568361,0.38488664112875
"243",243,1,0,0,0,0,0,0,1,1,1,1,1,1,-0.625883129109292,0.311405823693987
"244",244,1,1,1,0,1,1,1,1,1,1,0,1,1,0.786912313062124,0.429156166863074
"245",245,1,1,1,0,1,1,1,0,1,1,0,1,0,0.153011904568361,0.38488664112875
"246",246,1,1,1,0,1,0,0,1,1,1,0,0,0,-0.256801647825278,0.369508822388992
"247",247,0,0,1,0,1,0,1,0,1,0,0,0,1,-1.19258154223364,0.26445028743405
"248",248,1,1,0,0,1,1,1,0,1,1,0,0,1,-0.249161684764774,0.370192349119151
"249",249,1,0,0,0,0,0,0,0,1,0,0,0,0,-1.48726877012134,0.313103473746974
"250",250,1,1,1,0,1,0,1,1,1,1,1,1,1,0.773633666125359,0.42716685784914
"251",251,1,1,1,0,1,0,0,0,1,1,1,1,0,0.14228569790756,0.384735241512311
"252",252,1,1,1,0,1,0,1,0,1,1,0,0,0,-0.475733777914441,0.340218485421645
"253",253,1,1,1,0,1,0,0,1,1,1,1,1,0,0.401569904625415,0.39168451516775
"254",254,1,1,1,0,1,0,1,1,1,1,0,1,0,0.0447123573989088,0.383330517926325
"255",255,1,1,1,0,0,0,0,0,0,1,0,0,0,-0.83828019614521,0.271962998112292
"256",256,1,1,1,0,1,0,0,0,1,1,1,1,1,0.483997796883287,0.396391727632507
"257",257,1,1,1,0,1,0,1,0,1,1,0,1,0,-0.204257077809573,0.373772146576055
"258",258,1,1,1,0,1,0,1,0,1,1,1,1,0,0.14228569790756,0.384735241512311
"259",259,1,1,1,0,1,0,0,0,1,0,0,1,0,-0.56117686096425,0.324334164164691
"260",260,1,1,1,0,0,1,0,0,1,1,1,1,1,0.578784486679642,0.40388896366335
"261",261,1,1,1,0,1,0,0,0,1,1,0,0,0,-0.475733777914441,0.340218485421645
"262",262,1,1,1,0,0,1,1,0,1,1,0,1,1,0.210937587314318,0.385803751495783
"263",263,1,1,1,0,1,0,0,0,1,1,1,1,1,0.483997796883287,0.396391727632507
"264",264,1,1,1,0,1,0,1,0,1,1,0,1,0,-0.204257077809573,0.373772146576055
"265",265,1,1,1,0,1,1,1,1,1,1,1,1,1,1.34010385023213,0.553965665930291
"266",266,1,1,1,0,1,1,1,1,1,1,1,1,1,1.34010385023213,0.553965665930291
"267",267,1,1,1,0,1,0,0,0,1,0,0,1,1,-0.289513786874709,0.366327151129724
"268",268,1,1,1,0,1,0,1,0,1,1,0,1,0,-0.204257077809573,0.373772146576055
"269",269,1,1,1,0,1,0,0,0,1,0,1,1,0,-0.271973881981309,0.368084986026354
"270",270,1,1,1,0,1,1,1,1,1,1,0,1,0,0.412702984389735,0.392229961660112
"271",271,1,0,0,0,0,0,0,0,0,0,0,0,1,-1.46903969564121,0.309854662557252
"272",272,1,1,1,0,1,0,1,0,1,1,1,1,1,0.483997796883287,0.396391727632507
"273",273,1,1,0,0,0,0,1,0,1,1,0,0,0,-0.900348303431157,0.263896308300431
"274",274,1,1,1,0,1,1,0,1,1,1,1,1,1,1.34010385023213,0.553965665930291
"275",275,1,1,1,0,1,1,0,0,1,1,1,1,1,0.914702356886305,0.450936750610379
"276",276,1,0,0,0,0,0,1,0,1,1,0,0,0,-1.2440839259936,0.270992746126556
"277",277,1,1,1,0,1,1,0,0,1,1,1,1,1,0.914702356886305,0.450936750610379
"278",278,1,1,1,0,1,1,1,1,1,1,0,1,0,0.412702984389735,0.392229961660112
"279",279,1,1,1,0,1,0,1,1,1,1,1,1,1,0.773633666125359,0.42716685784914
"280",280,1,1,1,0,1,0,0,0,1,1,0,1,0,-0.204257077809573,0.373772146576055
"281",281,1,1,1,0,1,1,0,1,1,1,1,1,1,1.34010385023213,0.553965665930291
"282",282,1,1,1,0,1,1,1,1,1,1,0,1,0,0.412702984389735,0.392229961660112
"283",283,1,1,1,0,1,1,0,1,1,1,1,1,1,1.34010385023213,0.553965665930291
"284",284,1,1,1,0,0,1,1,0,1,1,1,1,1,0.578784486679642,0.40388896366335
